location_name,latitude,longitude,forecasted_on,forecast_for,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
london,51.5074,-0.1278,2026-06-02 12:00:00,2026-06-02 23:59:59,20.841,15.040999,16.7,40776.98,238.60907,21.24,45.36,13.454999,95.5
london,51.5074,-0.1278,2026-06-02 12:00:00,2026-06-03 23:59:59,17.841,14.141,7.7,9532.321,228.68349,26.28,55.44,18.044998,37.875
london,51.5074,-0.1278,2026-06-02 12:00:00,2026-06-04 23:59:59,16.654501,12.94775,7.625,54000.0,234.11778,24.84,50.399998,21.836248,51.25
london,51.5074,-0.1278,2026-06-02 12:00:00,2026-06-05 23:59:59,17.7045,11.4045,0.6,54000.0,253.56322,20.880001,42.12,18.405,13.75
london,51.5074,-0.1278,2026-06-02 12:00:00,2026-06-06 23:59:59,16.1045,12.1545,4.8,30180.512,140.89595,19.08,39.239998,12.239999,38.75
london,51.5074,-0.1278,2026-06-02 12:00:00,2026-06-07 23:59:59,21.3045,12.7045,0.0,53573.094,303.5462,12.24,26.28,10.169999,15.75
london,51.5074,-0.1278,2026-06-02 12:00:00,2026-06-08 23:59:59,18.45,13.4045,0.0,54000.0,239.38525,17.326813,44.28,12.891788,16.875
berlin,52.52,13.405,2026-05-20 12:00:00,2026-05-20 23:59:59,19.952,14.102,3.1,20003.076,226.44595,15.683776,45.719997,7.727732,23.541666
berlin,52.52,13.405,2026-05-20 12:00:00,2026-05-21 23:59:59,19.652,12.152,0.2,34215.992,275.5433,13.004921,37.8,8.79285,0.375
berlin,52.52,13.405,2026-05-20 12:00:00,2026-05-22 23:59:59,23.889,13.902,0.0,47972.44,291.79596,11.620809,30.599998,6.66232,0.125
berlin,52.52,13.405,2026-05-20 12:00:00,2026-05-23 23:59:59,28.439,14.539,0.0,55044.656,184.8792,7.8625183,22.68,4.852479,0.125
berlin,52.52,13.405,2026-05-20 12:00:00,2026-05-24 23:59:59,30.139,19.139,0.0,57304.79,295.15698,12.397806,32.399998,6.7661514,0.6666667
