date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-08,23.026,12.976,7.9,22840.568,204.42075,20.880001,39.96,8.190001,21.583334
2026-06-09,17.175999,11.726,4.3999996,23202.717,241.04073,18.359999,38.16,14.670001,60.333332
2026-06-10,17.226,10.126,1.2,42422.67,234.35168,22.68,48.96,11.834998,33.541668
2026-06-11,17.776,9.676,5.5,26784.156,241.72787,15.84,33.12,11.699997,39.25
2026-06-12,16.026,12.376,10.400002,0.0,242.50539,22.68,43.92,18.914997,86.375
2026-06-13,18.126,13.726,0.4,17888.24,265.35333,22.68,46.44,16.769999,25.375
2026-06-14,18.026,12.376,0.0,27555.355,278.29764,14.759999,30.960001,11.594998,23.458334
2026-06-15,21.726,9.876,0.0,42155.848,269.4587,10.799999,24.48,8.25,6.5833335
2026-06-16,23.75,15.55,0.90000004,41037.613,231.35518,23.264608,51.839996,15.841554,16.875
2026-06-17,25.3,15.1,0.3,58456.883,238.78094,20.298542,47.88,15.855877,11.041667
2026-06-18,25.85,16.55,0.0,58585.684,252.92746,16.084589,41.039997,12.719524,3.0
2026-06-19,31.5,16.15,5.4,58598.723,108.621666,13.83192,33.12,7.441924,12.791667
2026-06-20,31.75,20.5,4.8,58606.21,199.09543,18.331741,41.760002,11.263922,10.208333
2026-06-21,31.75,22.0,0.0,58608.16,211.42949,10.134495,34.2,7.1189356,18.083334
2026-06-22,31.5,21.75,7.2,53017.895,211.26857,13.723745,42.48,9.408006,10.791667
2026-06-23,24.5,18.2,7.4999995,45326.215,273.71848,17.123669,43.56,12.312636,19.541666
2026-06-24,22.9,15.7,0.9000001,57038.65,42.84175,9.422101,31.319998,6.507962,12.333333
2026-06-25,21.85,16.9,3.8999991,46523.73,245.17068,18.73557,46.079998,14.347942,13.708333
2026-06-26,20.2,14.45,3.3000004,57714.67,257.3088,16.607864,41.760002,13.785706,14.625
