date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-09,17.456501,13.4065,0.8000001,41753.555,249.5861,28.08,51.839996,16.26,78.333336
2026-06-10,17.3065,11.6565,4.5,40561.66,236.55995,27.359999,48.239998,13.289999,51.833332
2026-06-11,17.706501,11.9065,3.8999996,25339.56,227.15445,18.359999,38.519997,12.615,36.291668
2026-06-12,18.0565,12.6565,5.2,4440.3677,250.10481,25.56,45.0,19.485,80.458336
2026-06-13,17.3065,14.9065,2.4,21303.662,270.84232,25.56,49.32,17.07,39.458332
2026-06-14,17.8565,14.106501,2.1999998,41339.223,298.16534,20.880001,41.039997,18.164999,11.625
2026-06-15,18.8065,13.856501,0.2,34330.64,312.4693,17.64,34.92,13.634998,0.75
2026-06-16,22.7565,13.9065,0.0,41408.36,58.052975,15.84,34.92,12.9,5.0
2026-06-17,23.35,13.2,1.1,56885.023,220.79213,14.913952,36.0,8.821572,9.208333
2026-06-18,24.5,15.85,0.0,59625.445,243.64825,9.1958685,25.199999,6.876117,0.0
2026-06-19,30.2,19.4,10.200001,39613.94,139.63554,9.605998,37.8,6.1079044,16.5
2026-06-20,25.25,18.7,0.0,59647.73,264.66608,10.094454,30.599998,7.8912535,12.125
2026-06-21,22.55,16.6,0.0,59649.844,44.102573,12.85205,31.68,8.485928,8.541667
2026-06-22,21.55,14.85,0.0,59645.926,62.745766,14.138882,33.48,11.484353,5.4583335
2026-06-23,24.45,13.75,0.0,59636.008,59.36152,9.044888,33.12,6.043026,11.041667
2026-06-24,25.3,16.25,0.0,59620.086,0.7978939,12.996199,33.12,8.769942,9.541667
2026-06-25,21.3,14.75,0.0,59598.18,58.32956,16.62444,39.239998,12.728581,7.0416665
2026-06-26,25.6,14.0,0.0,59570.31,67.39997,15.629971,39.239998,13.320023,10.0
2026-06-27,29.45,20.15,0.3,59536.496,123.79965,12.730467,36.0,10.695719,9.625
