date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-11,14.361,8.761001,12.200001,20931.27,165.29692,19.8,37.44,14.579999,80.458336
2026-06-12,13.861,10.411,8.3,0.0,144.25081,23.4,44.28,16.739998,84.0
2026-06-13,16.961,10.761001,1.5,14851.395,328.51205,19.8,37.079998,10.500001,64.541664
2026-06-14,22.111,10.111,0.0,59657.46,334.7358,28.8,52.199997,13.860001,3.7083333
2026-06-15,18.361,9.711,0.0,62066.055,331.05963,18.72,37.079998,14.46,0.0
2026-06-16,17.461,9.461,0.0,61923.93,285.89252,15.4800005,32.039997,9.2699995,0.0
2026-06-17,14.911,10.211,3.7999997,12315.1875,173.01923,19.44,34.56,8.37,26.541666
2026-06-18,17.06525,12.7,2.675,27446.96,180.2144,16.336426,39.239998,12.07694,34.208332
2026-06-19,16.65,12.45,10.300001,9665.074,167.155,23.376448,52.199997,16.49771,68.833336
2026-06-20,16.75,11.25,6.3000007,28324.621,201.88025,23.912914,52.92,14.202485,61.541668
2026-06-21,14.75,9.45,8.7,16787.928,165.2964,11.897714,31.319998,6.676994,34.166668
2026-06-22,17.0,9.6,0.0,42499.39,199.69687,7.327127,23.759998,6.074004,52.583332
2026-06-23,20.05,10.2,1.8,39387.85,319.31854,17.564533,39.6,8.001305,52.583332
2026-06-24,14.95,10.3,1.2,60029.555,317.01297,22.5,51.12,15.661522,51.541668
2026-06-25,12.7,8.5,8.400001,0.0,206.75847,14.092977,34.56,10.748321,50.083332
2026-06-26,15.1,10.95,4.1999993,0.0,207.26994,11.052058,28.8,7.2478514,40.875
2026-06-27,20.3,13.1,4.8,50643.324,171.7379,19.239801,48.96,13.1271105,34.541668
2026-06-28,24.4,16.1,0.0,47836.39,167.47966,9.686609,30.960001,7.009904,29.083334
2026-06-29,27.1,16.1,1.2,66602.78,133.50574,11.745604,28.44,7.4252744,32.083332
