date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-09,21.202,15.502,0.5,24489.473,253.97491,28.73242,58.679996,13.942183,12.583333
2026-06-10,19.702,11.252,0.6,24485.707,153.91109,16.954432,37.8,6.1999316,12.208333
2026-06-11,19.152,12.002,1.2,43944.35,293.9738,15.876775,54.719997,9.2568655,23.333334
2026-06-12,17.802,11.452,1.9,5880.461,219.02072,15.141414,33.12,9.486026,17.458334
2026-06-13,19.852,13.502,1.8000001,29109.04,271.27585,20.945072,51.839996,14.050623,10.458333
2026-06-14,16.502,11.802,1.2,17091.51,275.01718,21.707731,53.639996,18.212343,41.208332
2026-06-15,19.852,12.052,0.1,26717.57,278.2785,22.930048,56.88,17.624846,0.125
2026-06-16,22.088999,9.502,0.0,55526.406,270.9552,13.32,29.16,8.614545,0.375
2026-06-17,21.588999,13.589,1.2,13798.346,245.8209,7.9526596,22.319998,4.249918,5.75
2026-06-18,30.189,16.088999,0.0,58303.88,240.71866,7.5942073,24.48,5.0133142,1.25
2026-06-19,32.126,20.789,0.3,46535.734,166.80664,7.2359104,28.8,3.8247283,4.0104165
2026-06-20,33.976,22.575998,1.5000001,51393.434,209.35765,13.37825,43.199997,8.523153,14.833333
2026-06-21,27.9,19.425999,0.15,58994.156,314.74234,15.580141,41.039997,9.764713,23.427084
2026-06-22,25.5,15.85,0.0,59383.234,348.32947,13.917154,37.44,8.192086,13.416667
2026-06-23,24.45,16.05,0.0,59399.656,346.3858,11.334285,34.56,8.376252,5.75
2026-06-24,25.4,16.55,0.0,43618.992,304.8187,17.986494,52.92,10.262134,6.375
2026-06-25,23.35,15.35,0.0,58985.754,335.05252,12.570394,44.28,10.395319,9.291667
2026-06-26,24.9,15.45,0.0,59437.41,50.460987,18.201374,43.56,9.34613,7.9583335
2026-06-27,24.95,14.25,0.0,59445.676,89.71554,14.957339,42.839996,13.824362,13.75
