date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-09,20.348,14.698,1.2,14869.387,226.57912,13.049689,33.839996,7.960065,20.875
2026-06-10,16.998,12.398,0.9,17413.17,201.60559,12.768586,41.399998,5.4702477,22.791666
2026-06-11,18.548,11.198,2.5,45811.094,239.78874,13.004921,33.12,7.7239113,7.0
2026-06-12,19.748,15.298,1.2,63.399467,203.4735,17.25373,41.039997,12.47318,27.625
2026-06-13,28.098,18.648,0.0,52085.79,225.80684,19.95972,45.36,14.310781,0.375
2026-06-14,25.648,16.848,0.0,54000.0,330.12405,15.379206,37.079998,7.956007,0.0
2026-06-15,24.498,11.948,0.0,54000.0,49.650246,7.7879906,19.44,4.587943,0.0
2026-06-16,28.031,16.998,0.1,37112.82,147.3368,10.464797,27.0,6.3312936,3.2083333
2026-06-17,33.631,16.081,0.0,53067.31,215.6316,13.237039,36.719997,6.4245315,0.0
2026-06-18,35.681,19.581,0.0,55425.21,220.91425,7.208994,30.239998,4.502904,0.0
2026-06-19,35.6155,20.230999,0.3,55843.676,181.91718,7.754637,19.44,5.343468,0.28125
2026-06-20,33.5155,22.1655,0.0,53241.332,208.17458,16.418526,36.719997,10.001458,0.5416667
2026-06-21,34.841377,19.615501,1.8,56890.13,97.09935,7.729527,28.8,5.097035,9.572917
2026-06-22,34.6,21.9,0.0,56923.375,118.536316,5.9617786,26.28,3.1776133,9.0
2026-06-23,32.65,22.5,0.0,55686.91,8.717388,8.53815,29.88,5.030955,13.541667
2026-06-24,32.65,21.35,0.0,56956.22,7.221263,12.620554,34.56,7.1680403,12.416667
2026-06-25,31.75,20.25,0.0,56964.246,355.98593,15.536408,40.32,8.292316,8.958333
2026-06-26,34.85,19.75,0.0,56941.74,347.4447,5.7628117,32.399998,3.5405288,6.75
2026-06-27,35.7,22.85,2.6999998,56633.41,91.36389,13.433838,33.12,5.7399406,19.833334
