date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-09,18.573502,13.7734995,4.8,26235.104,249.79399,17.610588,48.239998,13.168944,45.0
2026-06-10,18.973501,10.1735,2.6,44357.566,240.65324,20.870687,46.44,10.095738,21.166666
2026-06-11,17.223501,10.2235,1.3000001,43889.324,257.79636,12.959999,32.039997,7.4761868,15.708333
2026-06-12,18.6735,11.4735,0.8,3297.3894,232.56273,20.211363,46.44,10.465452,21.875
2026-06-13,17.2735,12.6735,2.5,25678.828,262.9365,27.0024,56.519997,16.315126,7.75
2026-06-14,16.323502,10.9735,4.999999,12053.346,278.84064,25.759504,53.639996,18.841753,18.333334
2026-06-15,16.8735,12.1235,0.0,34394.668,283.75702,27.70831,55.44,18.570063,0.125
2026-06-16,20.265001,10.4735,0.0,50272.297,267.81854,10.495713,23.759998,6.1164203,0.0
2026-06-17,19.365,13.514999,2.6000001,0.0,207.82396,10.883676,27.359999,5.4248085,10.333333
2026-06-18,26.715,16.765001,0.0,59737.105,251.47774,13.1041975,33.48,7.1545196,1.2916666
2026-06-19,30.675999,17.665,3.3000002,50706.387,156.12775,10.446206,30.599998,5.7143245,10.5625
2026-06-20,27.626,19.626,5.1,45639.195,252.65878,14.264361,47.16,8.114384,27.083334
2026-06-21,22.181501,16.7,0.0,38731.9,315.69632,13.217443,36.36,8.334141,29.197916
2026-06-22,20.95,13.6,0.0,60200.29,336.0446,9.693296,32.760002,6.136573,11.916667
2026-06-23,22.6,13.2,0.0,60349.824,314.5465,7.2,24.48,4.873645,8.958333
2026-06-24,22.35,15.55,0.0,60353.766,302.17065,20.95203,51.48,12.53633,11.666667
2026-06-25,22.9,12.95,0.0,60354.28,312.41458,15.053425,46.079998,8.836125,10.625
2026-06-26,25.45,15.8,0.0,60351.312,81.96749,17.244337,40.68,9.4676485,13.166667
2026-06-27,25.6,16.1,0.0,60317.777,115.67141,20.53105,50.399998,18.325579,16.916666
