date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-10,20.163,12.462999,0.0,36879.395,245.33617,13.237038,36.0,7.267292,4.75
2026-06-11,17.463001,11.863,4.9,45423.46,253.97855,11.928989,43.56,8.144794,52.666668
2026-06-12,17.763,11.563,3.1,0.0,224.79262,14.587776,34.92,9.419209,41.541668
2026-06-13,21.663,15.162999,1.5000001,28083.074,273.09158,18.204042,45.719997,10.8330555,23.541666
2026-06-14,17.613,12.063,2.0,27586.148,271.22318,19.70815,47.16,12.849229,12.25
2026-06-15,17.513,11.212999,0.0,18539.018,267.22638,21.605999,47.16,12.357455,2.25
2026-06-16,20.763,10.363,2.7,19390.264,218.36336,13.37825,33.48,7.1421056,19.791666
2026-06-17,22.565,14.676999,0.1,18636.172,277.0007,8.707238,23.039999,5.0116463,5.375
2026-06-18,28.015001,17.065,0.0,54737.188,245.78264,8.209263,23.039999,4.348172,0.7916667
2026-06-19,32.265,20.365,0.0,39694.066,164.87059,6.725354,24.119999,4.369614,4.875
2026-06-20,32.676003,21.476,1.5,48376.688,187.47942,11.770403,34.92,5.384988,6.78125
2026-06-21,34.676003,20.626,0.0,50310.855,189.46225,8.714677,22.319998,4.5610137,21.541666
2026-06-22,29.363,22.55,0.0,58969.27,23.711702,10.337079,49.68,6.7074285,13.135417
2026-06-23,31.45,18.85,0.0,58946.14,98.768555,14.587776,32.039997,10.331825,14.75
2026-06-24,29.45,20.0,9.300001,57688.73,243.06444,14.689589,37.8,8.785457,8.375
2026-06-25,22.2,17.9,0.3,54656.07,316.4951,16.554129,42.12,13.186402,7.9583335
2026-06-26,26.1,15.75,0.0,58883.89,2.1516783,8.574123,26.64,4.429108,4.0416665
2026-06-27,31.2,18.95,0.0,58541.14,179.07225,12.241323,29.519999,7.8019624,5.7916665
2026-06-28,25.3,19.4,0.6,55248.625,321.46274,20.381372,49.68,15.922312,12.375
