date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-09,23.1915,15.991499,0.0,50479.81,351.2473,24.280659,59.399998,19.76827,0.0
2026-06-10,27.241499,15.7915,0.0,52170.883,350.34232,21.41319,52.56,16.719545,0.0
2026-06-11,32.2915,18.5915,0.0,52818.406,341.69577,13.246826,31.68,6.6442046,0.0
2026-06-12,33.4915,20.1415,0.0,46785.39,324.97195,13.905509,31.319998,4.338746,0.0
2026-06-13,31.6415,21.0415,0.0,52584.434,237.4042,18.171976,42.12,7.4504857,0.0
2026-06-14,26.5915,19.1415,0.0,50741.688,258.93317,16.363178,39.6,8.037001,0.0
2026-06-15,26.241499,17.6915,0.0,50297.344,338.66306,19.826164,45.36,12.439555,0.0
2026-06-16,28.241499,17.3415,0.0,51324.316,341.42972,19.513195,44.639996,12.177188,0.0
2026-06-17,28.241499,17.3415,0.0,52017.184,339.3062,19.022177,44.28,10.357184,0.0
2026-06-18,27.6915,18.241499,0.0,47474.3,338.68866,17.873556,40.32,11.881354,0.0
2026-06-19,27.6135,17.183,0.0,51793.33,313.08572,12.72283,31.68,7.418421,0.0
2026-06-20,24.6135,17.213501,0.0,52067.312,272.0363,14.471821,34.56,7.061024,0.0
2026-06-21,33.55,17.213501,0.0,52118.57,323.41385,15.804164,46.079998,7.608778,1.4791666
2026-06-22,33.4,19.65,0.0,51133.082,341.56494,12.682018,39.239998,7.1991076,2.1666667
2026-06-23,33.9,23.15,0.0,50368.367,291.23065,9.187056,32.039997,4.981725,4.0833335
2026-06-24,27.2,20.7,0.0,52915.367,235.0116,18.35647,45.0,10.47409,0.5
2026-06-25,24.45,19.25,2.2,51158.598,236.71635,17.975681,46.079998,12.951665,6.125
2026-06-26,25.45,19.2,0.8000001,43596.38,279.2298,14.892213,39.239998,10.426539,7.4583335
2026-06-27,26.25,17.35,0.0,51178.184,342.441,19.59356,47.88,11.069024,1.5416666
