date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-10,29.765501,16.3155,0.0,51630.04,43.191265,14.336861,37.8,8.273609,0.0
2026-06-11,30.9155,15.4655,0.0,51272.91,47.71315,15.7908325,42.48,8.888785,0.0
2026-06-12,32.7655,18.615501,0.0,51605.465,70.296074,12.181624,32.399998,7.6630435,0.0
2026-06-13,32.9155,19.865501,0.0,50903.74,115.83281,9.931042,29.16,7.3668923,0.0
2026-06-14,33.065502,20.9655,0.5,48697.63,102.994644,15.941944,40.68,6.3772273,11.625
2026-06-15,30.4155,19.115501,0.0,46800.0,188.90665,6.12,26.28,3.32304,9.041667
2026-06-16,32.1655,18.865501,0.0,51216.133,100.12463,6.924738,22.68,4.1594505,1.0
2026-06-17,35.0155,20.015501,0.0,52242.79,113.94263,9.983106,29.16,6.3923755,0.375
2026-06-18,34.815502,19.8155,0.0,52980.77,132.46854,10.195057,28.8,7.170411,0.7916667
2026-06-19,34.1655,20.9155,0.0,51256.21,105.50259,7.928178,28.08,4.601195,4.125
2026-06-20,37.359,21.059,0.0,53039.89,108.07829,10.195057,27.72,7.5959435,1.1145834
2026-06-21,39.759,22.659,0.3,53060.184,118.91423,10.799999,29.16,7.894648,1.875
2026-06-22,40.4,23.909,0.3,53063.92,181.3614,10.656547,50.399998,7.227034,5.3333335
2026-06-23,39.5,26.95,0.3,53072.2,233.92929,16.596157,54.719997,8.218661,7.9166665
2026-06-24,37.5,24.8,0.0,53089.098,57.90528,12.800265,42.839996,7.504116,4.875
2026-06-25,36.75,20.4,0.0,53104.773,45.865093,14.248452,48.96,8.949467,4.1666665
2026-06-26,36.2,22.65,0.0,53026.94,56.1304,13.577776,41.399998,8.614262,5.5
2026-06-27,36.65,24.3,0.0,53028.945,104.03626,11.161451,38.519997,8.512895,8.041667
2026-06-28,37.35,24.35,0.0,53028.766,83.50753,10.711135,46.079998,8.369678,7.7916665
