date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-06,23.015001,9.964999,0.0,51461.906,219.80551,12.10157,28.8,6.652364,2.5
2026-06-07,23.415,15.964999,0.0,43895.555,275.10696,11.212135,30.960001,7.46433,0.45833334
2026-06-08,27.665,12.665,0.0,46845.348,266.21744,13.207634,41.039997,6.2488723,2.5416667
2026-06-09,18.665,13.365,5.499999,0.0,235.00789,14.33234,36.0,8.826615,72.833336
2026-06-10,13.464999,10.014999,22.2,166.21788,300.6185,12.768586,28.8,5.2998857,92.916664
2026-06-11,15.315,9.165,1.8,37219.004,272.08743,16.263872,48.6,10.352248,35.875
2026-06-12,14.214999,10.915,7.0999994,0.0,248.59248,16.700275,37.079998,11.593515,57.208332
2026-06-13,23.8715,14.615,0.8,47605.383,264.9907,18.733839,50.76,13.750793,6.2083335
2026-06-14,21.671501,13.221499,0.0,56439.734,289.18298,16.267857,46.44,9.516312,0.875
2026-06-15,19.5715,11.7715,0.0,48356.0,300.32755,12.181625,34.56,7.219201,3.5
2026-06-16,23.608,11.308001,0.0,56459.055,12.022777,7.2,18.359999,3.4084947,2.96875
2026-06-17,25.979,13.008,0.0,55792.58,189.9287,6.5693827,19.08,4.2802935,12.083333
2026-06-18,28.9,16.35,0.0,56542.94,62.96929,9.0,25.56,6.1106677,3.4375
2026-06-19,31.95,18.65,0.0,56526.375,211.05858,15.876775,38.88,7.5342083,7.8333335
2026-06-20,30.15,21.25,0.0,56508.535,235.69751,12.473363,36.36,6.262464,20.375
2026-06-21,32.45,20.8,0.0,56489.35,183.16571,9.83268,25.919998,5.3607664,16.708334
2026-06-22,33.6,21.9,0.3,56469.06,221.34364,11.1090765,39.6,6.624951,17.208334
2026-06-23,23.85,17.6,7.8,56447.676,274.1125,11.368535,35.64,8.9376,27.541666
2026-06-24,23.1,16.75,9.900001,55800.523,86.46778,7.628263,27.0,3.5484319,26.0
