date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-10,17.815,12.714999,2.4,36509.81,283.41785,16.65754,36.36,9.750391,22.25
2026-06-11,18.515001,10.115,0.0,29899.295,259.9624,14.973576,31.319998,10.35592,3.75
2026-06-12,25.465,16.665,0.0,36725.156,266.58435,17.339897,41.399998,14.526823,0.0
2026-06-13,28.015001,16.265001,0.0,50392.797,290.12036,15.0038395,32.760002,11.989604,0.0
2026-06-14,26.465,14.415,0.0,53968.285,330.77914,12.538134,28.44,8.326338,0.0
2026-06-15,29.065,14.615,0.0,46254.473,114.37404,8.714677,24.119999,6.9665227,1.125
2026-06-16,27.715,19.965,0.1,48154.055,318.23975,11.298495,28.08,8.875682,1.7083334
2026-06-17,31.1995,17.7495,0.0,49675.668,259.09134,6.8399997,19.08,2.940084,0.0
2026-06-18,32.2495,18.8995,0.0,53129.543,272.29056,11.384199,28.08,4.1051893,1.4583334
2026-06-19,34.2495,23.4495,0.6,53111.688,222.92993,12.261158,32.760002,6.728238,9.875
2026-06-20,34.299503,20.1495,0.0,56256.734,357.8259,11.366093,34.2,5.2696986,2.1979167
2026-06-21,39.1995,24.6995,0.0,57083.824,226.84755,10.948973,27.72,5.152001,1.4583334
2026-06-22,40.0,20.7995,0.0,57119.938,275.1459,12.261157,32.399998,10.56329,5.5208335
2026-06-23,33.9,21.8,1.2,57128.56,266.4505,17.280935,44.639996,12.9303,4.0416665
2026-06-24,22.65,17.15,0.0,45813.72,293.96924,14.941083,42.12,13.168902,2.3333333
2026-06-25,27.05,16.7,0.0,57137.62,9.66285,10.587918,35.64,7.3223076,3.4583333
2026-06-26,30.35,18.95,0.0,57137.94,45.101982,8.281956,34.92,6.1022654,2.125
2026-06-27,30.5,19.8,0.0,57135.375,314.79916,15.546833,39.96,9.419172,9.041667
2026-06-28,28.6,17.55,0.0,57129.875,328.44574,13.493999,43.199997,9.213904,17.25
