date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-10,15.9485,12.1985,2.0,0.0,178.9312,10.829959,26.28,4.8698115,47.5
2026-06-11,16.5485,10.8985,5.7,33014.695,260.62115,13.684735,36.719997,8.95442,60.583332
2026-06-12,15.848499,9.7985,4.7,1311.7762,216.40416,13.246826,28.8,9.293379,33.5
2026-06-13,23.8485,15.0485,1.1,42333.543,267.54947,18.709612,43.199997,11.937517,18.625
2026-06-14,17.8985,13.6985,0.0,23354.318,279.43536,17.163355,39.239998,11.19575,0.45833334
2026-06-15,19.3985,12.5485,0.0,35082.594,277.1816,18.709612,40.68,12.073617,0.25
2026-06-16,22.4985,11.4985,0.7,28332.766,229.57117,18.331741,38.16,9.148387,11.125
2026-06-17,22.446,14.296,0.3,26637.062,286.04788,8.714677,24.48,5.743474,5.4583335
2026-06-18,28.246,16.496,0.0,53112.6,281.72504,7.9036193,23.039999,4.5491476,1.2083334
2026-06-19,32.546,18.546,0.0,55026.484,150.72484,5.8603754,17.28,2.7437975,0.75
2026-06-20,28.796,19.846,3.9,27185.656,174.79811,6.28713,27.72,3.8007352,14.114583
2026-06-21,33.646,19.196,0.0,57600.0,221.53165,6.4096174,16.199999,3.4801023,22.458334
2026-06-22,32.796997,22.146,0.0,57782.74,91.98291,15.546833,34.2,9.162321,19.520834
2026-06-23,32.15,20.0,0.0,57778.254,61.8494,14.941083,37.8,6.932168,11.083333
2026-06-24,34.95,22.55,9.0,56824.457,57.58087,10.070353,43.199997,6.5287075,7.0416665
2026-06-25,23.85,18.55,3.0000002,44760.652,331.32794,15.156386,43.199997,12.00484,5.4583335
2026-06-26,25.5,15.9,0.0,57733.918,6.5633245,12.283599,36.36,6.306106,4.0
2026-06-27,30.6,18.4,0.0,57708.45,136.80447,9.36,29.16,5.066482,4.2916665
2026-06-28,24.5,18.75,5.9999995,57682.5,315.4233,17.682194,50.76,12.310974,11.416667
