date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-10,28.991499,17.8415,0.0,49166.414,205.11876,14.689588,34.92,7.374408,0.0
2026-06-11,25.0415,20.2915,0.0,40323.797,197.49364,14.689589,35.64,8.737383,0.0
2026-06-12,30.6415,17.6915,0.0,50397.5,358.8489,16.071491,36.719997,10.089554,0.0
2026-06-13,30.0415,17.1915,0.0,50400.0,276.15027,14.081478,34.56,5.7975416,0.0
2026-06-14,29.991499,16.6915,0.0,49564.18,217.29778,13.551501,33.48,6.3559837,0.0
2026-06-15,28.8415,16.741499,0.0,45122.082,193.17259,16.179985,39.6,6.916668,0.0
2026-06-16,29.6915,19.5415,0.1,45991.04,265.86914,11.620809,31.68,5.141311,5.2083335
2026-06-17,33.391502,20.2915,0.0,49791.133,271.84164,16.981165,41.399998,6.503494,1.0833334
2026-06-18,34.5415,19.6915,0.0,52563.527,253.14148,13.779114,36.36,5.907924,0.0
2026-06-19,34.7915,21.1415,0.0,53445.082,241.32953,13.527572,36.36,5.885887,0.0
2026-06-20,36.335003,20.285,0.0,53466.54,232.52415,16.434305,38.16,6.270087,0.0
2026-06-21,37.885002,20.085,0.6,53146.125,246.87907,9.255571,22.68,4.5919666,0.0
2026-06-22,35.95875,21.835,0.6,53494.16,246.76965,10.9110565,34.2,5.4049363,2.0833333
2026-06-23,36.4,26.85,0.0,53868.145,242.44727,12.346741,37.079998,6.3129864,2.25
2026-06-24,35.5,26.4,0.0,53884.848,235.73259,14.926983,42.839996,6.712082,3.9583333
2026-06-25,34.8,24.85,0.0,53900.125,234.75627,13.432632,40.68,5.954523,5.625
2026-06-26,33.6,24.6,1.2,53165.74,294.3045,9.83268,46.44,4.7911425,6.4583335
2026-06-27,34.6,24.3,1.2,52837.94,277.53357,10.630672,37.8,6.503927,6.0416665
2026-06-28,34.65,24.2,0.0,53577.188,247.97092,12.267763,38.16,6.1704965,3.1666667
