date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-11,19.067501,12.9675,0.0,23552.066,198.6911,12.599999,26.64,8.085,18.458334
2026-06-12,20.917501,12.5675,0.0,53966.69,234.0868,19.44,41.399998,14.414999,7.875
2026-06-13,20.2175,12.6675,0.0,60177.445,142.60017,18.0,39.239998,14.685,5.3333335
2026-06-14,14.9675,12.3175,4.7,0.0,278.8156,19.8,37.8,11.624998,61.208332
2026-06-15,17.1175,12.2175,11.2,1686.0184,11.110686,19.08,36.719997,13.634998,69.5
2026-06-16,12.8175,11.117499,7.6,0.0,333.26572,25.56,46.8,18.134998,60.75
2026-06-17,22.417501,12.1675,0.0,56322.83,297.60855,19.08,41.039997,13.455,0.0
2026-06-18,19.979376,15.9675,0.275,40741.254,262.74725,19.083395,43.92,14.265061,10.916667
2026-06-19,23.4,14.05,0.0,62815.176,256.88892,12.616703,29.16,9.301256,3.0
2026-06-20,25.65,15.5,0.0,64807.99,202.97989,17.54977,41.399998,10.945421,6.5416665
2026-06-21,24.95,18.5,0.0,64827.27,257.9505,17.085785,39.239998,12.235493,6.2916665
2026-06-22,23.35,15.35,0.0,64660.137,229.90735,6.6087217,30.239998,3.993273,13.958333
2026-06-23,23.85,15.35,10.2,51609.06,148.6157,13.920647,33.12,7.2973986,25.75
2026-06-24,21.8,15.8,11.7,49434.273,264.45163,20.368652,46.8,16.600876,35.25
2026-06-25,18.8,13.45,0.3,65294.293,303.88278,21.717432,52.92,16.792309,20.125
2026-06-26,20.7,12.5,0.0,65580.98,329.48053,17.419127,42.839996,9.507512,22.083334
2026-06-27,24.3,14.85,0.0,65582.86,265.78043,13.159711,33.839996,6.884203,22.916666
2026-06-28,27.4,18.05,0.0,65548.38,254.9215,12.708816,32.760002,9.758976,21.625
2026-06-29,28.6,18.15,0.0,64879.984,210.45222,13.1041975,33.839996,8.309047,22.083334
