date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-07,25.682499,19.2825,0.0,45577.45,82.00793,15.192682,37.44,6.8293314,0.125
2026-06-08,26.8825,19.082499,0.0,50400.0,113.12651,14.578888,36.0,7.154273,0.0
2026-06-09,26.432499,20.7825,0.0,47154.906,64.223885,15.188415,37.8,8.898998,0.0
2026-06-10,24.2825,21.1325,0.0,34524.32,68.40268,14.332341,34.56,9.907219,0.0
2026-06-11,25.2325,19.182499,0.0,50400.0,99.225365,15.077082,35.64,7.4074945,0.0
2026-06-12,27.332499,18.7825,0.0,50400.0,121.2392,14.291592,34.92,6.505975,0.0
2026-06-13,30.3825,18.3825,0.0,49219.203,131.08167,11.681987,30.239998,5.77091,0.0
2026-06-14,30.5325,21.182499,0.0,48058.5,127.988235,16.489416,39.96,7.189309,0.5833333
2026-06-15,30.082499,21.3825,0.0,44880.04,87.75031,12.287555,30.599998,5.893034,2.7916667
2026-06-16,29.5325,21.3825,0.0,51385.992,91.7149,13.627795,34.92,6.4066577,0.041666668
2026-06-17,31.914501,20.5065,0.0,52353.46,106.61292,14.84318,36.36,6.0246863,1.46875
2026-06-18,29.5145,18.7145,0.0,51374.19,76.23917,14.917212,34.92,7.2912316,1.5833334
2026-06-19,28.5,21.0145,0.0,49944.266,73.09145,15.991659,47.16,7.131955,0.78125
2026-06-20,28.4,23.8,0.0,52416.11,54.357586,18.22361,52.199997,11.048211,0.5
2026-06-21,29.8,24.3,0.0,52436.42,59.315838,14.739132,44.28,9.773891,0.041666668
2026-06-22,31.9,23.7,0.0,52455.805,84.5006,11.132385,35.64,5.529718,1.5833334
2026-06-23,34.35,24.5,0.0,52474.035,137.00676,10.1456785,33.839996,5.788331,2.875
2026-06-24,34.2,25.65,0.0,52491.137,128.62996,11.679213,36.0,5.5442142,4.5416665
2026-06-25,34.25,25.1,0.0,52164.2,133.75627,15.338071,42.12,8.434613,2.625
