date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-09,27.8215,17.171501,11.900001,15932.199,285.24155,16.485485,62.279995,8.185198,24.458334
2026-06-10,17.771502,13.0215,5.7999997,0.0,310.45047,15.175612,34.92,10.218401,40.041668
2026-06-11,19.1215,11.5215,5.7000003,47508.023,287.7195,21.261345,48.6,15.800838,14.333333
2026-06-12,19.3715,11.221499,0.2,34281.156,279.50058,19.959719,45.719997,14.775136,19.875
2026-06-13,25.9715,16.421501,3.0,41134.3,277.67712,17.731598,49.32,11.385633,36.208332
2026-06-14,22.021502,17.2215,0.0,47706.418,296.51346,19.813087,47.16,9.135194,4.4583335
2026-06-15,23.6215,14.5715,0.0,50767.887,282.37863,19.083395,45.719997,10.19435,0.0
2026-06-16,25.279999,15.8215,0.0,47804.55,276.09964,14.440443,38.519997,9.287437,3.0833333
2026-06-17,29.029999,18.08,0.3,41374.22,285.29935,12.287555,35.28,6.495898,8.541667
2026-06-18,31.179998,17.98,0.0,57087.082,335.65063,7.2359104,23.039999,4.449373,1.125
2026-06-19,33.963,20.63,0.0,57122.59,138.64783,11.384198,30.599998,5.824905,0.33333334
2026-06-20,33.863,21.813,0.3,46828.28,230.10222,11.792404,30.960001,6.2739573,5.75
2026-06-21,31.063,23.713001,1.0500001,56556.125,312.13113,12.413477,50.399998,9.092748,16.71875
2026-06-22,30.25,22.5,0.6,57114.58,335.3628,11.298495,34.2,9.877354,19.125
2026-06-23,27.7,21.75,1.2000002,57106.6,299.4959,12.007498,36.36,7.7494845,20.5
2026-06-24,31.0,21.65,0.6,57093.734,303.71674,10.837435,39.96,9.321417,17.125
2026-06-25,27.85,20.95,0.0,57075.98,337.09048,12.750811,41.399998,11.048802,10.333333
2026-06-26,28.95,19.1,0.0,57053.387,41.71832,11.334285,32.039997,5.843852,11.041667
2026-06-27,28.3,20.1,0.0,57025.92,48.65234,10.436895,31.319998,8.459047,14.625
