date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-11,17.522001,9.922,0.1,44976.23,264.67554,14.205182,37.079998,7.296526,7.4583335
2026-06-12,18.172,13.922,0.1,4293.8877,197.9197,11.090103,25.56,6.461777,8.875
2026-06-13,27.772001,14.972,0.0,51873.785,243.02542,16.45007,37.44,9.815953,0.0
2026-06-14,26.672,17.872002,0.0,54000.0,269.19687,21.407139,46.079998,11.493003,0.0
2026-06-15,25.422,14.122,0.0,54000.0,288.9376,14.693999,36.719997,6.4301963,0.0
2026-06-16,26.872002,16.772001,0.0,33577.816,155.60059,11.183201,25.199999,4.2100286,1.8333334
2026-06-17,29.972,19.772001,0.0,49999.734,271.69464,11.457958,26.64,6.1149836,1.2083334
2026-06-18,33.205997,17.156,0.0,54000.0,52.841557,4.39436,14.4,2.775299,0.0
2026-06-19,34.455997,18.606,0.9,47794.277,152.01086,7.69592,20.880001,3.285319,7.7083335
2026-06-20,32.806,20.656,0.3,53146.8,212.85014,10.495713,29.16,6.1411204,11.875
2026-06-21,34.3595,20.3595,0.0,55120.875,60.20435,12.496718,36.36,5.4815893,1.3958334
2026-06-22,34.8595,20.1095,0.0,54711.55,84.559746,5.5887027,18.359999,3.7364976,0.25
2026-06-23,35.764874,20.9595,0.0,55956.973,246.86296,14.978984,45.719997,7.3662,19.489584
2026-06-24,30.6,21.4,5.4,55137.164,39.52855,8.089993,45.36,4.924339,13.333333
2026-06-25,30.8,20.85,0.0,55342.508,50.80102,9.761578,28.8,6.0703926,11.791667
2026-06-26,32.5,21.15,0.0,56585.15,56.16764,14.64209,38.88,9.113033,8.166667
2026-06-27,33.4,22.0,0.0,55987.426,191.94383,5.5450516,30.239998,2.4537904,3.5833333
2026-06-28,34.15,23.5,0.0,56193.617,202.80605,10.609316,30.599998,6.162607,6.625
2026-06-29,32.6,21.2,2.4,55606.383,169.91624,10.387107,51.48,6.1891785,14.291667
